dataset,no_of_spikes,pearson_ADM_PEDM,pearson_ADM_FEDM,pearson_PEDM_FEDM,spearman_ADM_PEDM,spearman_ADM_FEDM,spearman_PEDM_FEDM,method
sample_5000_dim_50000,20,0.923639998855799,0.9200658455994408,0.9965395121222255,0.4115659869267838,0.446726661018599,0.9681189402426916,random with centroids
sample_5000_dim_50000,20,0.9653124867591962,0.9650721420981324,0.9999949942925789,0.7896251807751083,0.7895990906328147,0.9999858430350597,random with centroids
sample_5000_dim_50000,2,0.5220235537183625,0.7210379114369951,0.6850654125613213,0.7050206424149887,0.757185309293208,0.8734551851018914,random with centroids
sample_5000_dim_50000,2,0.6708188094194282,0.6466170398448532,0.98357010996327,0.3820149489938916,0.41871937145655297,0.9588222116251531,random with centroids
sample_5000_dim_50000,4,0.8427530124726416,0.8233984225144806,0.9970293446352144,0.38558670400958117,0.386691973141754,0.9959390882588053,random with centroids
sample_5000_dim_50000,4,0.7728759743038648,0.6580042400825693,0.9572718484622084,0.47436068839224244,0.40271896937629736,0.9264970192104968,random with centroids
sample_5000_dim_50000,6,0.8128624536450433,0.7910509271793084,0.9585289354648192,0.4710835566493998,0.30123907191103144,0.9215662464705386,random with centroids
sample_5000_dim_50000,6,0.8500198915961964,0.8515124393613127,0.9997406500312912,0.5626385789945298,0.5721641533670417,0.996709552628398,random with centroids
sample_5000_dim_50000,8,0.8775035765212925,0.8688735259373727,0.9959488221777096,0.9243944800567337,0.9186763888919327,0.9979114742052235,random with centroids
sample_5000_dim_50000,8,0.8847540957263262,0.8709896492073235,0.9930965333310915,0.559908646447425,0.6104192492489015,0.9832554642833322,random with centroids
sample_5000_dim_50000,10,0.8976703519922046,0.9014132572840278,0.9991216297520501,0.5033400458690759,0.4883904270362217,0.9970995431299665,random with centroids
sample_5000_dim_50000,10,0.8576804665911987,0.8630001673822685,0.9959563917937126,0.30441660992514846,0.3900158632443247,0.9780423231267628,random with centroids
sample_5000_dim_50000,12,0.9206628560720883,0.8976831764614112,0.9899926018772361,0.5673709152034259,0.508923594777761,0.9651769589566759,random with centroids
sample_5000_dim_50000,12,0.9338671273396109,0.9283197923361182,0.9974329100001242,0.4985723499916676,0.516374313683595,0.9612935615958591,random with centroids
sample_5000_dim_50000,14,0.9315730514489875,0.9173429021284586,0.9962321083022941,0.8752611016089727,0.8888207588445333,0.9902143579392121,random with centroids
sample_5000_dim_50000,14,0.9721468953878443,0.9737134165411805,0.9985637233621517,0.5854295930243856,0.5782955685229298,0.9973312387627333,random with centroids
sample_5000_dim_50000,16,0.9068652216511651,0.9116758262179381,0.9976510737008862,0.44371624731496395,0.43907087510843124,0.9828670648854739,random with centroids
sample_5000_dim_50000,16,0.9448646172431348,0.9376599963205485,0.9967337818679008,0.6328131013919841,0.5913894254177315,0.9883536642984184,random with centroids
sample_5000_dim_50000,18,0.9357588722299711,0.9363712489292595,0.9995714123709721,0.41846924186442264,0.4184656838632783,0.9999989548233862,random with centroids
sample_5000_dim_50000,18,0.9217132622934208,0.9193363994957338,0.9984614622352819,0.4233852285919732,0.38009634653627933,0.9384665216263017,random with centroids
sample_5000_dim_50000,20,0.9999981715115931,0.9929236651711929,0.9929180519817823,0.9966265360756486,-0.21699120581474113,-0.24263849974658294,centroids
sample_5000_dim_50000,20,0.9999948488565188,0.9842469427802613,0.984506976876433,0.9964779902370693,-0.2927627598548228,-0.2792953936605826,centroids
sample_5000_dim_50000,2,0.982552270852332,0.9988336690997942,0.9724265798894309,0.9437525651118082,0.9421301327157965,0.9688017348358319,centroids
sample_5000_dim_50000,2,0.9924476111655036,0.9988790328714154,0.985531134260649,0.881073165147394,0.8406552149731704,0.7405779654221943,centroids
sample_5000_dim_50000,4,0.9999995579661823,0.9998311664825702,0.9998332400918636,0.9032307757119781,0.7051427873486077,0.8021863496379468,centroids
sample_5000_dim_50000,4,0.9999993699215151,0.9999853275521468,0.9999859778948557,0.8591646152980589,0.8309302147654747,0.9694971851341222,centroids
sample_5000_dim_50000,6,0.9999143652106816,0.9992187028926695,0.9991924820545554,0.9368294325492356,0.737922314163465,0.6611999642584016,centroids
sample_5000_dim_50000,6,0.9976121775876545,0.9997714188525865,0.9983871599989731,0.9535793100569541,0.6698914088476193,0.665382462526767,centroids
sample_5000_dim_50000,8,0.9999996782558978,0.9978386425112589,0.9978456445758231,0.9967193866700258,0.23883453154957843,0.23484929149010048,centroids
sample_5000_dim_50000,8,0.999999601265998,0.99840200247922,0.9984083530469319,0.9934864967718674,0.3312434052818648,0.33467044603855167,centroids
sample_5000_dim_50000,10,0.9967744168138887,0.9969388350538743,0.9970357739608618,0.9602776218529518,0.10471291545309544,0.06136816512340939,centroids
sample_5000_dim_50000,10,0.9999987580354581,0.999541217204802,0.9995460757302513,0.9863547813553634,0.6160086071180928,0.6240003100335345,centroids
sample_5000_dim_50000,12,0.998236620139168,0.9999232910190896,0.9978715912885002,0.9915550004747832,0.6938516357199922,0.6945317305547315,centroids
sample_5000_dim_50000,12,0.9999999676264852,0.9998602207909928,0.9998586778574178,0.9941935217612232,0.9376295645544765,0.9432658606914924,centroids
sample_5000_dim_50000,14,0.9999930415692191,0.9999434081388083,0.9999547257922343,0.9890611952469816,0.947949960362403,0.9694569345382681,centroids
sample_5000_dim_50000,14,0.9999887148830111,0.9999099071110492,0.9999025220792365,0.9925875371650573,0.8227042744482944,0.7922003238683636,centroids
sample_5000_dim_50000,16,0.9979927136152187,0.9942233276587635,0.9951758634652382,0.9500909834715473,-0.05175196756872032,-0.077947117947863,centroids
sample_5000_dim_50000,16,0.9999987116464238,0.9953607579304596,0.9954151468506895,0.9950183752326244,0.09298250781472221,0.11939511344716065,centroids
sample_5000_dim_50000,18,0.9998796728575164,0.9975434251707369,0.9972343105154066,0.994416279539734,0.011222421512074986,0.06322915883602179,centroids
sample_5000_dim_50000,18,0.999998215746688,0.9929075302547375,0.9929911720071973,0.995086053474399,0.025831950508083047,0.05139936219514096,centroids
sample_5000_dim_50000,6,0.7922639576138101,0.6952848459489269,0.9007745983664024,0.6631104754155691,0.6691797900602556,0.984115278437642,random
sample_5000_dim_50000,6,0.7403095809460665,0.7467060614222832,0.9766978408977489,0.7043707888453794,0.7155719463983489,0.9925892333397988,random
sample_5000_dim_50000,12,0.699080970830399,0.6948774044767354,0.9838385809850512,0.6632996249058641,0.667940772942502,0.9933308062479808,random
sample_5000_dim_50000,12,0.7690545547301855,0.7617931300572934,0.9914702641342013,0.714716577555159,0.7144601547179787,0.9959753365752437,random
sample_5000_dim_50000,18,0.7907073894464268,0.7910043977491453,0.9952232602771588,0.7594597307038591,0.7698041697959443,0.9944753949836069,random
sample_5000_dim_50000,18,0.8236617412498005,0.798380661180599,0.9843936809411337,0.7895794367961037,0.7928389720981858,0.9968037700594514,random
sample_5000_dim_50000,20,0.9418350790144854,0.9379663561044362,0.9996096427235212,0.4884935488438482,0.5055343321659939,0.9981134495801347,random
sample_5000_dim_50000,20,0.9596066590789939,0.9653599397972059,0.9978311137669462,0.6439549476677832,0.6800085569023425,0.9662027818850726,random
sample_5000_dim_50000,2,0.5905237684387015,0.5539653409950714,0.9726901402079678,0.5251972058764767,0.5078561707999988,0.9586061605760641,random
sample_5000_dim_50000,4,0.7047779295925486,0.7066682859322686,0.9479622295017422,0.6033251267840768,0.5141293911725573,0.9448721023193096,random
sample_5000_dim_50000,4,0.7345454829837602,0.7399162713408506,0.994355644860675,0.5478130056028682,0.6104645494533283,0.9792840677915787,random
sample_5000_dim_50000,8,0.8665937668406397,0.8727017129271165,0.996837973960158,0.5079864767641289,0.5286415266378084,0.9917453698374126,random
sample_5000_dim_50000,8,0.9232028254717671,0.8893624963417155,0.9878893140705628,0.7811596754340152,0.8256923304573153,0.9694081876450475,random
sample_5000_dim_50000,10,0.7774416302906646,0.7830418861053595,0.9925497609010889,0.3876376872507362,0.3598155119478328,0.9892290838521814,random
sample_5000_dim_50000,10,0.9497919997283075,0.9345680927701779,0.9959131292865523,0.33767209737673165,0.36642236634495184,0.9849614028062817,random
sample_5000_dim_50000,14,0.9800635430077408,0.9884670862326613,0.993050710734453,0.8909712941358693,0.8928967999404713,0.978377389272091,random
sample_5000_dim_50000,14,0.9186424681512477,0.9174071918029562,0.9883755354260835,0.546026352096819,0.5784460799696145,0.9484591298736073,random
sample_5000_dim_50000,16,0.9428550906787263,0.9424806979220177,0.997361727821247,0.6569112556536612,0.5609195753891383,0.9550461417855692,random
sample_5000_dim_50000,16,0.9278353724244545,0.9321800466953803,0.9974052187854685,0.41722999540350975,0.5153820380779511,0.9766574453204288,random
