no_of_spikes,pearson_ADM_PEDM,pearson_ADM_FEDM,pearson_PEDM_FEDM,spearman_ADM_PEDM,spearman_ADM_FEDM,spearman_PEDM_FEDM,method
20,0.7261498522829211,0.576664652116017,0.8838057448081441,0.5970183739645595,0.5631849820429193,0.9362261168279596,random with centroids
20,0.7766975869977348,0.6845358992130761,0.9256183383596475,0.6518293856272878,0.6552234463396748,0.9832701209881795,random with centroids
20,0.8209285406475353,0.7286288472537136,0.9252643137561285,0.6970659682798972,0.6897453626622676,0.9619752260322794,random with centroids
20,0.7500769198915156,0.6246633754775629,0.8917624412441405,0.6141294863581914,0.6030839025410756,0.9575081744537491,random with centroids
20,0.8017493808686873,0.6970903272697933,0.9194719763692291,0.6590396121876105,0.6592063760336381,0.9925091907801706,random with centroids
20,0.7986941086985209,0.7074329615551963,0.9265484302814969,0.7002067130801062,0.7000517590324408,0.9838053899478012,random with centroids
20,0.7485546947559665,0.62342314816952,0.893157192421138,0.5946243962079021,0.583000912180666,0.9657895069778456,random with centroids
20,0.7914598004910138,0.7100152630828289,0.9402078910228261,0.67483236201625,0.6764594683573653,0.9975202374245354,random with centroids
20,0.8526792910723738,0.7731228848931954,0.9420225519887477,0.7615926808471234,0.7632337269036436,0.9874583042171147,random with centroids
20,0.7428157849482017,0.6326677899022372,0.9075589301908511,0.609082135767033,0.5977172517627289,0.9624945559965631,random with centroids
20,0.7987975333965924,0.7030457710908686,0.9226423239503376,0.6619216331801645,0.654661331881483,0.9777942843121781,random with centroids
20,0.8068234750226203,0.7000801717459981,0.9110029939797291,0.6938152555256765,0.6792574575013305,0.9629978391102224,random with centroids
20,0.762812667423561,0.6598334401812549,0.914717114725566,0.6231980070194074,0.6218703935430475,0.9815349330019293,random with centroids
20,0.833024866985348,0.7549583669058407,0.9379023998214279,0.709698450154761,0.7145583074164538,0.9931318978962457,random with centroids
20,0.8533734118812758,0.7759592017524957,0.9431055564962678,0.7567472699831645,0.759939397875809,0.9932029829405438,random with centroids
22,0.7724320958696123,0.6760082423333038,0.9224043288631834,0.6548595081882423,0.6416012662407587,0.97495299879792,random with centroids
22,0.7450795548394807,0.6245068579871624,0.9028497702080238,0.6079490531522322,0.5886514264916481,0.9583618017981979,random with centroids
22,0.8138471577933759,0.7100289522631772,0.9250092246581931,0.675494589464012,0.671887895851718,0.9851199742707331,random with centroids
22,0.7465823596991586,0.6433961259024132,0.919032870698438,0.6091609696602676,0.616620672418528,0.9948383720429291,random with centroids
22,0.7569345865799216,0.6638605552891618,0.927338442343956,0.631141405949675,0.6304248433898666,0.9892102237566004,random with centroids
