no_of_spikes,pearson_ADM_PEDM,pearson_ADM_FEDM,pearson_PEDM_FEDM,spearman_ADM_PEDM,spearman_ADM_FEDM,spearman_PEDM_FEDM,method
34,0.69,0.71,0.97,0.64,0.66,0.97,centroid-based
35,0.7,0.72,0.96,0.66,0.68,0.97,centroid-based
32,0.69,0.7,0.96,0.64,0.66,0.97,centroid-based
35,0.71,0.72,0.97,0.67,0.68,0.97,centroid-based
36,0.7,0.72,0.96,0.65,0.67,0.97,centroid-based
34,0.7,0.72,0.97,0.65,0.67,0.97,centroid-based
33,0.7,0.72,0.96,0.65,0.67,0.97,centroid-based
35,0.7,0.72,0.96,0.66,0.67,0.97,centroid-based
32,0.7,0.72,0.97,0.66,0.67,0.97,centroid-based
35,0.71,0.73,0.96,0.66,0.68,0.97,centroid-based
35,0.71,0.72,0.96,0.66,0.67,0.96,centroid-based
35,0.71,0.73,0.96,0.66,0.69,0.97,centroid-based
35,0.7,0.71,0.97,0.65,0.67,0.97,centroid-based
35,0.71,0.73,0.97,0.66,0.68,0.97,centroid-based
31,0.7,0.72,0.96,0.66,0.67,0.96,centroid-based
31,0.7,0.71,0.96,0.65,0.67,0.96,centroid-based
36,0.71,0.73,0.96,0.66,0.68,0.97,centroid-based
33,0.71,0.72,0.97,0.67,0.68,0.97,centroid-based
37,0.72,0.73,0.97,0.67,0.69,0.97,centroid-based
32,0.68,0.7,0.96,0.63,0.65,0.97,centroid-based
37,0.71,0.73,0.97,0.67,0.68,0.97,centroid-based
34,0.69,0.71,0.96,0.64,0.66,0.97,centroid-based
36,0.71,0.73,0.96,0.67,0.68,0.97,centroid-based
32,0.7,0.72,0.96,0.65,0.67,0.97,centroid-based
36,0.69,0.71,0.96,0.65,0.67,0.97,centroid-based
33,0.7,0.72,0.96,0.65,0.66,0.97,centroid-based
12,0.69,0.69,0.94,0.66,0.66,0.97,centroid-based
36,0.7,0.72,0.96,0.65,0.67,0.97,centroid-based
37,0.7,0.72,0.96,0.65,0.68,0.97,centroid-based
33,0.7,0.71,0.97,0.65,0.67,0.97,centroid-based
100,0.8,0.81,0.97,0.78,0.79,0.98,random
100,0.79,0.8,0.98,0.78,0.78,0.98,random
100,0.78,0.8,0.97,0.77,0.78,0.98,random
100,0.81,0.82,0.97,0.78,0.8,0.98,random
100,0.82,0.83,0.98,0.79,0.8,0.98,random
100,0.77,0.78,0.98,0.75,0.77,0.98,random
100,0.8,0.81,0.98,0.78,0.79,0.98,random
100,0.79,0.81,0.98,0.78,0.79,0.98,random
100,0.79,0.8,0.98,0.77,0.79,0.98,random
100,0.79,0.81,0.98,0.77,0.79,0.98,random
100,0.81,0.82,0.98,0.8,0.8,0.98,random
100,0.8,0.81,0.97,0.78,0.79,0.97,random
100,0.76,0.77,0.97,0.75,0.76,0.98,random
100,0.79,0.8,0.98,0.77,0.78,0.98,random
100,0.78,0.79,0.98,0.76,0.77,0.98,random
100,0.8,0.82,0.97,0.78,0.8,0.98,random
100,0.81,0.83,0.98,0.79,0.8,0.98,random
100,0.79,0.8,0.98,0.77,0.79,0.98,random
100,0.79,0.8,0.98,0.77,0.79,0.98,random
100,0.82,0.83,0.97,0.8,0.81,0.98,random
100,0.81,0.82,0.97,0.79,0.8,0.98,random
100,0.79,0.81,0.98,0.78,0.79,0.98,random
100,0.8,0.82,0.98,0.78,0.8,0.98,random
100,0.81,0.83,0.98,0.79,0.8,0.98,random
100,0.83,0.84,0.98,0.81,0.82,0.98,random
100,0.82,0.83,0.98,0.8,0.81,0.98,random
100,0.82,0.83,0.98,0.79,0.81,0.98,random
100,0.79,0.8,0.98,0.77,0.78,0.98,random
100,0.79,0.8,0.97,0.76,0.78,0.98,random
100,0.82,0.84,0.98,0.81,0.82,0.98,random
48,0.82,0.83,0.98,0.79,0.8,0.98,random
48,0.77,0.78,0.98,0.75,0.76,0.98,random
48,0.8,0.81,0.97,0.78,0.79,0.97,random
48,0.8,0.81,0.97,0.78,0.8,0.98,random
48,0.79,0.8,0.97,0.77,0.78,0.98,random
48,0.79,0.8,0.97,0.77,0.78,0.98,random
48,0.75,0.77,0.97,0.74,0.75,0.98,random
48,0.78,0.79,0.97,0.76,0.77,0.98,random
48,0.77,0.78,0.97,0.75,0.77,0.98,random
48,0.77,0.79,0.97,0.75,0.77,0.98,random
48,0.8,0.81,0.98,0.78,0.79,0.98,random
48,0.81,0.82,0.97,0.79,0.81,0.98,random
48,0.79,0.8,0.97,0.77,0.79,0.98,random
48,0.8,0.81,0.97,0.78,0.79,0.98,random
48,0.68,0.69,0.97,0.69,0.7,0.98,random
24,0.79,0.79,0.97,0.76,0.77,0.97,random
24,0.72,0.73,0.97,0.71,0.72,0.97,random
24,0.77,0.78,0.97,0.75,0.76,0.98,random
