dataset,no_of_spikes,pearson_ADM_PEDM,pearson_ADM_FEDM,pearson_PEDM_FEDM,spearman_ADM_PEDM,spearman_ADM_FEDM,spearman_PEDM_FEDM,method
sample_100_dim_1200,6,0.8873078886,0.9224039083,0.9405976958,0.7325895425,0.7889754855,0.8759172535,random with centroids
sample_100_dim_1200,6,0.9053594205,0.8988188452,0.9957108615,0.3681783926,0.3716163793,0.9976359774,random with centroids
sample_100_dim_1200,6,0.8057499555,0.8001756947,0.9959994233,0.07258601921,0.07627526733,0.99718787,random with centroids
sample_100_dim_1200,6,0.9820543552,0.856884879,0.9305794458,0.5495688243,0.5495688243,1,random with centroids
sample_100_dim_1200,6,0.7683107216,0.7405575576,0.982744508,0.249346348,0.2815171528,0.9632839446,random with centroids
sample_100_dim_1200,6,0.8241740825,0.8180403934,0.9850826649,0.6192757052,0.6309405731,0.9827705881,random with centroids
sample_100_dim_1200,6,0.7975408856,0.795069248,0.9964212452,0.4789228899,0.4411721057,0.9822274681,random with centroids
sample_100_dim_1200,6,0.8209933621,0.8043702387,0.9934699866,0.3851839444,0.3214383755,0.9835631011,random with centroids
sample_100_dim_1200,6,0.8792591522,0.8726842217,0.9981546663,0.5183726669,0.5254701125,0.9981536432,random with centroids
sample_100_dim_1200,8,0.9445937732,0.9201653592,0.9900448187,0.5884378666,0.5699547742,0.9671927801,random with centroids
sample_100_dim_1200,8,0.8207156391,0.7798977767,0.9642537817,0.4236566932,0.4136498286,0.9142244564,random with centroids
sample_100_dim_1200,8,0.8713855771,0.8708674257,0.9990964631,0.4017213636,0.3837894863,0.9971216341,random with centroids
sample_100_dim_1200,8,0.8613321144,0.8549759378,0.9976040223,0.6913989451,0.6617715303,0.9946984174,random with centroids
sample_100_dim_1200,8,0.8164813832,0.7941780353,0.9806630545,0.4696445407,0.5098045427,0.9784258425,random with centroids
sample_100_dim_1200,8,0.8392896892,0.8236774325,0.9869511953,0.3661988256,0.3766629943,0.9663281533,random with centroids
sample_100_dim_1200,8,0.6656104084,0.5900552284,0.9484458981,0.4093490404,0.3064134977,0.9238921343,random with centroids
sample_100_dim_1200,8,0.8388288851,0.8415596497,0.9942400785,0.7795438406,0.7808653267,0.990888321,random with centroids
