dataset,no_of_spikes,pearson_ADM_PEDM,pearson_ADM_FEDM,pearson_PEDM_FEDM,spearman_ADM_PEDM,spearman_ADM_FEDM,spearman_PEDM_FEDM,method
sample_1200_dim_1000,20,0.8360131203162952,0.017024768430233508,0.11676716937928294,0.07715775150131417,0.10250166339597969,0.7155401986372536,random with centroids
sample_1200_dim_1000,20,0.8326959425877457,0.033803862946129276,0.13186572715613692,0.08660472168526176,0.11257447607109028,0.4507807258637705,random with centroids
sample_1200_dim_1000,20,0.8325511831771073,0.05857825865931492,0.19346110674235822,0.12983866335292388,0.1272050187132694,0.8911264005623724,random with centroids
sample_1200_dim_1000,20,0.8356898114451916,0.028715042625311844,0.13232405174211145,0.07639449908069597,0.10002201988047997,0.7280961929476154,random with centroids
sample_1200_dim_1000,20,0.8124262630437387,0.09115602723887616,0.32525162519719103,0.11147876052585087,0.1168955760073175,0.9173246246685328,random with centroids
sample_1200_dim_1000,30,0.7926265660299173,0.04414285753030374,0.1939534048678936,0.08974819749744077,0.08495161052088794,0.22467373204828286,random with centroids
sample_1200_dim_1000,30,0.7641474144269733,0.07010279928949087,0.4045762406871228,0.12403294721623183,0.12866321665233152,0.8521801596977663,random with centroids
sample_1200_dim_1000,30,0.8357558798393413,0.014684772591720614,0.12009419302231202,0.10674912377008511,0.11033878883479666,0.971736326715637,random with centroids
sample_1200_dim_1000,30,0.836579168094682,-0.005863303622261165,0.07783092650411895,0.0881882225692103,0.10844473704919189,0.8385454371248181,random with centroids
sample_1200_dim_1000,30,0.7750346526670063,0.04875064859308096,0.3559155554174075,0.114290619135586,0.12952044999936557,0.8677491099258823,random with centroids
sample_1200_dim_1000,40,0.8311537607961441,0.03211647227477909,0.17230812277369184,0.08103035275154596,0.11029399500985788,0.3974350490537341,random with centroids
sample_1200_dim_1000,40,0.8329402191977746,0.022207685760104796,0.14825770105294528,0.13743435292148204,0.14129437825500366,0.9559088844278342,random with centroids
sample_1200_dim_1000,40,0.8348230732270528,0.008054976915519811,0.10213176290098214,0.059337661945337794,0.07413616510712367,0.19139871798969413,random with centroids
sample_1200_dim_1000,40,0.8356419134070929,0.0005345854401532243,0.08444874574277084,0.035713744735717694,0.11868116003595375,0.2679696345418397,random with centroids
sample_1200_dim_1000,40,0.7416620297387975,0.05622637932959556,0.4899951029700077,0.13901852902005113,0.14746647624039516,0.9405670220493455,random with centroids
sample_1200_dim_1000,50,0.7628724660484498,0.056094756879826894,0.3946176084872691,0.14356044571655338,0.14381894095147363,0.8050234588137439,random with centroids
sample_1200_dim_1000,50,0.8353710829248902,0.00982120702605746,0.11281586344443906,0.06432564918693745,0.13647620453749482,0.3828882548581187,random with centroids
sample_1200_dim_1000,50,0.8376252561429188,0.002692163112950742,0.09404893529490246,0.067042642815547,0.13605158916254398,0.442704131801298,random with centroids
sample_1200_dim_1000,50,0.83253289905971,0.0011725623762777562,0.1146786486805356,0.056760840434919684,0.10833152584133647,0.19784579259857887,random with centroids
sample_1200_dim_1000,50,0.8363023592967072,-0.0005839464912464352,0.09348291120104786,0.06267870254261401,0.10774051847508666,0.2607383182511226,random with centroids
sample_1200_dim_1000,60,0.8303547977365389,0.002966431091494849,0.07542356320996567,0.07098093032454802,0.09144377775348914,0.45015180206425764,random with centroids
sample_1200_dim_1000,60,0.8344091609873768,0.0032400999325758626,0.09944034047402098,0.050701097400347894,0.09952364573174559,0.1704435796083144,random with centroids
sample_1200_dim_1000,60,0.7817618304073556,0.03693419952063249,0.26771831541430935,0.09241623975269593,0.10302106853450073,0.3893875921500408,random with centroids
sample_1200_dim_1000,60,0.8252378014199184,0.0012307728367196328,0.0721717544779226,0.0726000704311584,0.06882516237165079,0.4502279543974104,random with centroids
sample_1200_dim_1000,60,0.804019773822263,0.07171237243655268,0.3152122878874397,0.1238738441153965,0.11985334482173533,0.7084973457625192,random with centroids
sample_1200_dim_1000,70,0.8276329437180403,-0.008664682269120942,0.05914508567762394,0.04980337030440605,0.059817846703914365,0.45892282976912946,random with centroids
sample_1200_dim_1000,70,0.7517939955031142,0.061699906927650455,0.47315032235960325,0.13674818293190297,0.13916242218646063,0.8837500377756925,random with centroids
sample_1200_dim_1000,70,0.8244137457116537,-0.0017311621802515971,0.04873315742063432,0.06548036780461483,0.08503801727635672,0.6255183667954489,random with centroids
sample_1200_dim_1000,70,0.8322728483871269,0.009345564667401784,0.1259897538096437,0.050565708421813335,0.1220708175010841,0.14785382266115812,random with centroids
sample_1200_dim_1000,70,0.8261805395792072,0.006688576433151119,0.06659215888190519,0.07010800523188768,0.10122909377562887,0.4950858192948794,random with centroids
sample_1200_dim_1000,80,0.832018206906445,0.011370838183964598,0.09924212519102898,0.04703939009135638,0.08599529448507601,0.2954811193490429,random with centroids
sample_1200_dim_1000,80,0.8288739696373226,-0.007961485308715684,0.06788694995644097,-0.09896445995068928,0.0800935759010182,-0.8801830966721657,random with centroids
sample_1200_dim_1000,80,0.7912616553285345,0.10268946691051392,0.4110027572947902,0.15295609365088242,0.17082250457859638,0.9422916598662068,random with centroids
sample_1200_dim_1000,80,0.8388235140671374,0.0025585689823630015,0.10667669911535692,0.05827217701398255,0.1352588846980011,0.46427655965029024,random with centroids
sample_1200_dim_1000,80,0.826166852611882,0.0254279253665685,0.13145851135433564,0.08883101572241345,0.1230869044127465,0.274359767484309,random with centroids
sample_1200_dim_1000,90,0.8342997200637435,0.01610529877742457,0.1474588179494128,0.13089865144243168,0.15380612379559233,0.8201207474045699,random with centroids
sample_1200_dim_1000,90,0.8348425656762721,-0.0009468068959299873,0.11271643770997868,0.05878531081077099,0.12789517752887294,0.27409252328039513,random with centroids
sample_1200_dim_1000,90,0.8177341134414535,0.01384741339090818,0.08993240959091062,0.10634792314335183,0.09391572052092319,0.4874786560626013,random with centroids
sample_1200_dim_1000,90,0.8304447255510149,0.018896105844443338,0.14502299188831208,0.08004121795209877,0.1287041840163742,0.10742842151038287,random with centroids
sample_1200_dim_1000,90,0.837416534921192,-0.02481193312866293,0.07413659890198163,0.03603596266509842,0.097583215908611,-0.008312394622976688,random with centroids
