no_of_spikes,pearson_ADM_PEDM,pearson_ADM_FEDM,pearson_PEDM_FEDM,spearman_ADM_PEDM,spearman_ADM_FEDM,spearman_PEDM_FEDM
20,0.7728123440811961,0.7444624347044904,0.9692252336721032,0.7120004251777021,0.7121520250971385,0.9988922206568217
20,0.7406373790478535,0.7103959937695633,0.9651826007387421,0.6924147187666622,0.6916671965797415,0.9965648835003798
20,0.7884306665584129,0.7595608977165144,0.9693767451828119,0.7413987771870255,0.7414086974430164,0.9990099024191471
20,0.8003217991118337,0.7743822088177241,0.9728966037229724,0.7459680484742065,0.7461570712895468,0.9999613648978434
20,0.773293162456755,0.7438645538535721,0.9684785716613372,0.720711455144717,0.7205402932449362,0.9999137504714894
20,0.7905358891857109,0.763869940699011,0.9704909108987825,0.7339287909403531,0.7335555642733754,0.9970117567659518
20,0.7490209912991229,0.7134335012642852,0.9601607414043313,0.6957229874155845,0.6920342278877164,0.9936243151807306
20,0.7420317767168021,0.7126438066153431,0.9662956438363018,0.6863669593232931,0.6860636223516413,0.9974762634943487
20,0.7593074855679771,0.7288038837542221,0.9664949430922025,0.6981996491955368,0.6977487220111435,0.998983818175969
20,0.784144828598247,0.7555680413539776,0.968360289663588,0.7341094426199379,0.7326796521961791,0.9957569370994429
20,0.7421239115307964,0.7099853489273765,0.964596508430485,0.6764185795158729,0.6763352971091281,0.9998839209176736
20,0.8063546261957292,0.7792044881825573,0.9716065125029979,0.7625629189346691,0.7623199194683221,0.9986254718771268
20,0.741112411479807,0.710378737350451,0.9655816876263467,0.6940399443490209,0.6938858416341698,0.9990103082090579
20,0.8057496735085203,0.7794633953589681,0.971043591124029,0.756473230380646,0.7544946335205983,0.9964024494745451
20,0.7501652913818483,0.7203638167491396,0.9666466736941399,0.6996563567820266,0.7003384654863446,0.9992802064488852
22,0.6896118765699881,0.6534340570359171,0.9578850802217467,0.6505283972679139,0.6510769188839413,0.9992604850443888
22,0.7351228018085155,0.7017718269370296,0.9620643867563352,0.6827842944630801,0.6823400449667847,0.9989790288816445
22,0.7770052752277733,0.7484191733424143,0.968103388954901,0.7269128358972519,0.725764938062462,0.9966984560151837
22,0.782471696932918,0.7539243613648885,0.967927574988311,0.7139281056442458,0.7136191974965561,0.9964525964121336
22,0.7828205128943284,0.7551730319489378,0.9703245852189009,0.7237081646915696,0.7240500025588685,0.9998046446029965
22,0.8239945965275157,0.7986029896599677,0.9731101352947147,0.7817396404285175,0.7818920635877254,0.9984465052161551
22,0.7362528404781814,0.7045388586813699,0.9649382048276414,0.699548613698045,0.6988322031362749,0.999831163017397
22,0.7492638550761059,0.718966812198925,0.9659277729619312,0.6994249526577064,0.6994055624145152,0.9986420906324086
22,0.7631411263504936,0.732027553015298,0.9673675085679737,0.718234004663321,0.7170609790871569,0.9993364887821392
22,0.7817832106554116,0.7530194944404566,0.9694347785947205,0.7232627064541316,0.7213665169345926,0.9973041617521485
22,0.7689686942460988,0.7386102824293468,0.9667412809349033,0.7149058744337266,0.7152135380710012,0.9987583728471557
22,0.7806399406493153,0.7515654767347686,0.9688540617639859,0.7218103497539081,0.7217914947202293,0.9978173449207619
22,0.8045350320066297,0.7762827389658299,0.969835742854357,0.7473097870406372,0.7457870803883269,0.9962491300443963
22,0.7392095306870804,0.7075202604997263,0.9631775885340235,0.7016498040490013,0.6970622044542781,0.9922050457898206
22,0.7496400846635253,0.7213507552899258,0.9695050024977795,0.7025719824499739,0.7028674160051502,0.9998467084201081
24,0.7641526633068026,0.735918253028051,0.9691052969223308,0.7077914228708557,0.7082326626483795,0.9996823118463933
24,0.7578724456485939,0.7278863119199488,0.9666928885023053,0.713986481770736,0.7129022809708269,0.9965115088449373
24,0.8002424198215484,0.775181594826126,0.9730107233545087,0.7450835917226541,0.7449142912666338,0.998455297072191
24,0.765550255299138,0.7336016381314231,0.9632498970756967,0.7142205887461133,0.7108819422697746,0.9928736458704699
24,0.7558061353519183,0.7222045079348658,0.96116625530938,0.6910170066019728,0.6865057512851481,0.9915167789277572
24,0.7676376904975634,0.7366466475026798,0.9659474701653433,0.7138159759174174,0.7138918890787723,0.9980722893221072
24,0.7446321835722478,0.7138244193892898,0.9646541656574052,0.6731731069157433,0.6734484622175289,0.9987808282160409
24,0.7479583894103596,0.7122348810888762,0.9607616376870807,0.7025110999168962,0.7002531715243052,0.9945117428964404
24,0.750682616165728,0.7206372902272173,0.9673886238995607,0.6970990316334766,0.6971382738912902,0.9994883475390394
24,0.7736677452718473,0.7439130838646522,0.9673568629608542,0.705710916284212,0.7054267004539305,0.9980336688967139
24,0.7460729340820986,0.7150831500256337,0.9644544758605851,0.6906766614870579,0.6906744200081176,0.9988665914540786
24,0.784652614194185,0.7556616822291019,0.9686040174414987,0.7307761520385418,0.730647472969136,0.9981718051080004
24,0.7703144389817842,0.7421262155376078,0.9694639089230571,0.710206766293401,0.7103860546427297,0.9999398116760125
24,0.7309883265771885,0.6961787974579721,0.958598087277063,0.6719526153506064,0.6708002864153606,0.9945575858305543
24,0.7545948168179242,0.7232295372315415,0.9662162583690734,0.7040077456282865,0.7026642533536845,0.9994901077686236
26,0.7271421425035148,0.6935949102279254,0.96045643847771,0.6663843787339577,0.6663396114301698,0.9973551127812337
26,0.7563765629729097,0.7229709674884394,0.9641482600488236,0.7197541734276864,0.7187414742013303,0.9980776629103139
26,0.7649461346185594,0.7366070932976998,0.9691214121744824,0.7055917267664822,0.7059549842353268,0.9998128327986835
