FileName,Content
FEDM_PEDM_using_N_centroids_10points_iter9.txt,"Shape of Generated Spikes (20, 48708)
Pearson correlation between true and predicted global matrices: 0.7292004644936027
Pearson correlation between true and federated global matrices: 0.7450265731339457
Pearson correlation between federated and predicted global matrices: 0.9723842379176858
Spearman correlation between true and predicted global matrices: 0.6959204569369739
Spearman correlation between true and federated global matrices: 0.7135601120376268
Spearman correlation between federated and predicted global matrices: 0.9710020808679133"
FEDM_PEDM_using_N_centroids_11points_iter1.txt,"Shape of Generated Spikes (22, 48708)
Pearson correlation between true and predicted global matrices: 0.7242476577400042
Pearson correlation between true and federated global matrices: 0.7439039438045166
Pearson correlation between federated and predicted global matrices: 0.9776451896138627
Spearman correlation between true and predicted global matrices: 0.6957135724297485
Spearman correlation between true and federated global matrices: 0.7178827418314961
Spearman correlation between federated and predicted global matrices: 0.9775577423210543"
FEDM_PEDM_using_N_centroids_11points_iter10.txt,"Shape of Generated Spikes (22, 48708)
Pearson correlation between true and predicted global matrices: 0.726727357746527
Pearson correlation between true and federated global matrices: 0.7463769191250396
Pearson correlation between federated and predicted global matrices: 0.9711873860919639
Spearman correlation between true and predicted global matrices: 0.6946490000631211
Spearman correlation between true and federated global matrices: 0.7162158390907296
Spearman correlation between federated and predicted global matrices: 0.9753771278999218"
FEDM_PEDM_using_N_centroids_11points_iter11.txt,"Shape of Generated Spikes (22, 48708)
Pearson correlation between true and predicted global matrices: 0.7388956276995677
Pearson correlation between true and federated global matrices: 0.7591141008685662
Pearson correlation between federated and predicted global matrices: 0.9718284551130785
Spearman correlation between true and predicted global matrices: 0.7104233383577403
Spearman correlation between true and federated global matrices: 0.7317189571775721
Spearman correlation between federated and predicted global matrices: 0.9768779792193655"
FEDM_PEDM_using_N_centroids_11points_iter12.txt,"Shape of Generated Spikes (22, 48708)
Pearson correlation between true and predicted global matrices: 0.727755175627205
Pearson correlation between true and federated global matrices: 0.7460045524881107
Pearson correlation between federated and predicted global matrices: 0.9580556261491355
Spearman correlation between true and predicted global matrices: 0.7046528521770004
Spearman correlation between true and federated global matrices: 0.7200496512159382
Spearman correlation between federated and predicted global matrices: 0.9742273373437412"
FEDM_PEDM_using_N_centroids_11points_iter13.txt,"Shape of Generated Spikes (22, 48708)
Pearson correlation between true and predicted global matrices: 0.7308438089136831
Pearson correlation between true and federated global matrices: 0.7493830672063051
Pearson correlation between federated and predicted global matrices: 0.9667624011733272
Spearman correlation between true and predicted global matrices: 0.70282866299381
Spearman correlation between true and federated global matrices: 0.7242536632212819
Spearman correlation between federated and predicted global matrices: 0.9696584013911341"
FEDM_PEDM_using_N_centroids_11points_iter14.txt,"Shape of Generated Spikes (22, 48708)
Pearson correlation between true and predicted global matrices: 0.7208720348713505
Pearson correlation between true and federated global matrices: 0.7366033241770436
Pearson correlation between federated and predicted global matrices: 0.9686693983620532
Spearman correlation between true and predicted global matrices: 0.6962586742413105
Spearman correlation between true and federated global matrices: 0.7086982501660433
Spearman correlation between federated and predicted global matrices: 0.9666021294430854"
FEDM_PEDM_using_N_centroids_11points_iter15.txt,"Shape of Generated Spikes (22, 48708)
Pearson correlation between true and predicted global matrices: 0.7267091262908982
Pearson correlation between true and federated global matrices: 0.7473514549865029
Pearson correlation between federated and predicted global matrices: 0.966221196998908
Spearman correlation between true and predicted global matrices: 0.6935155878919126
Spearman correlation between true and federated global matrices: 0.7176883577627999
Spearman correlation between federated and predicted global matrices: 0.9719168775402842"
FEDM_PEDM_using_N_centroids_11points_iter2.txt,"Shape of Generated Spikes (22, 48708)
Pearson correlation between true and predicted global matrices: 0.7343043849717107
Pearson correlation between true and federated global matrices: 0.7514200608567752
Pearson correlation between federated and predicted global matrices: 0.9693944910316059
Spearman correlation between true and predicted global matrices: 0.7091826530658449
Spearman correlation between true and federated global matrices: 0.7272978740914936
Spearman correlation between federated and predicted global matrices: 0.972421592916539"
FEDM_PEDM_using_N_centroids_11points_iter3.txt,"Shape of Generated Spikes (22, 48708)
Pearson correlation between true and predicted global matrices: 0.7274549851062893
Pearson correlation between true and federated global matrices: 0.7463200434703798
Pearson correlation between federated and predicted global matrices: 0.95854390726983
Spearman correlation between true and predicted global matrices: 0.701711239719694
Spearman correlation between true and federated global matrices: 0.7203309515464699
Spearman correlation between federated and predicted global matrices: 0.9794468498996616"
