no_of_spikes,pearson_ADM_PEDM,pearson_ADM_FEDM,pearson_PEDM_FEDM,spearman_ADM_PEDM,spearman_ADM_FEDM,spearman_PEDM_FEDM,method
20,0.771494994390851,0.7637013866313765,0.9899629476577542,0.7331461603335017,0.7365464927187616,0.995185916014406,random
20,0.8038076362460749,0.8001582066455575,0.9904647855385567,0.7591400259092875,0.7629055698060564,0.9922846226152844,random
20,0.8119927237959281,0.8042861595974319,0.9911898448726101,0.778236933407381,0.7846523845339995,0.9952319498108025,random
20,0.8605083011099736,0.7882713736640996,0.9150049092018077,0.7578072158627424,0.7592528064870137,0.9702804712345012,random
20,0.7769370593961766,0.7643225793453134,0.9790959598190687,0.7450555456449798,0.73899032113845,0.9869503079318954,random
20,0.8658064579831888,0.7919357317477136,0.9220638425737249,0.7851291776929007,0.7778993464420404,0.9680353630647086,random
20,0.8052818566599296,0.773052065487925,0.9878687099681716,0.7473212547643421,0.7452708883729928,0.9973583905538438,random
20,0.7558622088219937,0.756318124274645,0.9856717035417683,0.7087267958938445,0.7214011489274568,0.9929595219523807,random
20,0.776434047331429,0.7668026260549442,0.9815050397253071,0.7465317752343325,0.740528726205878,0.9920763349268994,random
20,0.7867673885161003,0.7824208273570543,0.9897067772564009,0.7339480975529022,0.7435164464805183,0.9944451008553543,random
20,0.7851391634482399,0.7831937522265531,0.9966736450125481,0.7594847830127711,0.7659998826045848,0.9981794025578361,random
20,0.8488516454655475,0.7849854249327867,0.919208681885942,0.7580162284263847,0.7670910940896886,0.986407096777249,random
20,0.8079060876764822,0.8061148996097118,0.9875215436732222,0.7935942605989653,0.7981893738393653,0.9956244399183394,random
20,0.8187367445891098,0.8053277241065787,0.9829378110578971,0.8006491931628257,0.7941687029777034,0.9905153108281909,random
20,0.7002826111983769,0.7001783125369733,0.9885312463407401,0.6668731279320912,0.6747203898683652,0.994150098590092,random
22,0.7901849019059886,0.7893059910737894,0.993215409342034,0.7687812937529104,0.7729947339532546,0.9968051993385173,random
22,0.8434571069825666,0.8399815969294785,0.9840693178570487,0.8386062639587958,0.8378410631284632,0.9935378982999864,random
22,0.8151773733639459,0.738533803341406,0.9152176528093209,0.7318134577938602,0.7176325571873383,0.9788135905053063,random
22,0.7774267215005541,0.7696769589317792,0.98851792779804,0.7298869262888628,0.7339905181681389,0.9944732761783683,random
22,0.7945634887647276,0.7867074494769533,0.9826689885459945,0.7557698272572491,0.759097242795277,0.9930368994669164,random
22,0.8322529706209945,0.7617781228361065,0.9277894828075871,0.7182620918362972,0.7172707319081236,0.9840304326152082,random
22,0.8500895575678027,0.7764904680401362,0.9271071402241658,0.7645612314331645,0.7577670988558127,0.9663057696302672,random
22,0.809744527061107,0.772926563812341,0.9795115427523908,0.7456801926529282,0.7407727671846293,0.9934368638865486,random
22,0.807095246491683,0.8012973192762662,0.9838184699957482,0.7714084578463399,0.7712392836574263,0.9933115025723569,random
22,0.7980876700850367,0.796458952417577,0.9908841550834278,0.7673128144005739,0.7736616492004944,0.9946933748612863,random
22,0.788669813055377,0.7793718196127248,0.9896190336896427,0.7447834612067541,0.7467935662809005,0.9944184225007934,random
22,0.7911555536290721,0.7874169830792598,0.9947602737409078,0.7404748123568756,0.7505167300857316,0.9955665224082498,random
22,0.7870457865343529,0.7923793224090957,0.9859815207403868,0.7437827682873485,0.7567320428517138,0.9921600668175798,random
